"id";"Libellé";"En ligne";"Catégorie";"Marque";"Type de déclinaison";"Déclinaison";"id Déclinaison";"Code-barres";"Prix d'achat HT";"Fournisseur";"Ref. fournisseur";"Prix de vente";"Taxe";"Prix soldé";"points +";"points -";"Shugamade"
"12";"Hairneedling tempes";"0";"N/A";"N/A";"0";"";"0";"2430000000126";"500.00";"Inconnu";"";"25000.00";"0.00000";"35000.00";"0";"0";"0"
"13";"Hairneedling tête entière ";"0";"N/A";"N/A";"0";"";"0";"2430000000133";"500.00";"Inconnu";"";"35000.00";"0.00000";"45000.00";"0";"0";"0"
"14";"Oméga 3 EPH & DHA ";"0";"N/A";"N/A";"0";"";"0";"2430000000140";"3000.00";"Inconnu";"";"8500.00";"0.00000";"0.00";"0";"0";"1"
"15";"Saw palmetto";"0";"N/A";"N/A";"0";"";"0";"2430000000157";"3450.00";"Inconnu";"";"8500.00";"0.00000";"0.00";"0";"0";"1"
"16";"Pépins de courge ";"0";"N/A";"N/A";"0";"";"0";"2430000000164";"3000.00";"Inconnu";"";"8500.00";"0.00000";"0.00";"0";"0";"5"
"17";"Fer";"0";"N/A";"N/A";"0";"";"0";"2430000000171";"2400.00";"Inconnu";"";"8000.00";"0.10000";"0.00";"0";"0";"0"
"18";"Collagène marin ";"0";"N/A";"N/A";"0";"";"0";"2430000000188";"2400.00";"Inconnu";"";"8000.00";"0.00000";"0.00";"0";"0";"4"
"19";"Complexe cheveux ";"0";"N/A";"N/A";"0";"";"0";"2430000000195";"3250.00";"Inconnu";"";"8500.00";"0.00000";"0.00";"0";"0";"0"
"20";"Spiruline";"0";"N/A";"N/A";"0";"";"0";"2430000000201";"2580.00";"Inconnu";"";"8000.00";"0.00000";"0.00";"0";"0";"6"
"21";"Argile verte ";"0";"N/A";"N/A";"0";"";"0";"2430000000218";"700.00";"Inconnu";"";"3000.00";"0.00000";"0.00";"0";"0";"0"
"22";"Shampoing végétal en poudre ";"0";"N/A";"N/A";"0";"";"0";"2430000000225";"1000.00";"Inconnu";"";"2500.00";"0.00000";"0.00";"0";"0";"0"
"23";"Shampoing végétal en poudre ";"0";"N/A";"N/A";"0";"";"0";"2430000000232";"5000.00";"Inconnu";"";"15000.00";"0.00000";"0.00";"0";"0";"0"
"24";"Sérum coup de pousse ";"0";"N/A";"N/A";"0";"";"0";"2430000000249";"700.00";"Inconnu";"";"5000.00";"0.00000";"0.00";"0";"0";"3"
"27";"Spray coup de pep’s";"0";"N/A";"N/A";"0";"";"0";"2430000000270";"900.00";"Inconnu";"";"2500.00";"0.00000";"0.00";"0";"0";"5"
"28";"Sérum  coup de pep’s+ 15ml";"0";"N/A";"N/A";"0";"";"0";"2430000000287";"785.00";"Inconnu";"";"5000.00";"0.00000";"0.00";"0";"0";"4"
"29";"Shampoing coup de boost";"0";"N/A";"N/A";"0";"";"0";"2430000000294";"2400.00";"Inconnu";"";"5000.00";"0.10000";"0.00";"0";"0";"0"
"30";"Après shampoing coup de boost";"0";"N/A";"N/A";"0";"";"0";"2430000000300";"2500.00";"Inconnu";"";"5000.00";"0.10000";"0.00";"0";"0";"0"
"31";"Leave -in coup de boost ";"0";"N/A";"N/A";"0";"";"0";"2430000000317";"2800.00";"Inconnu";"";"5000.00";"0.00000";"0.00";"0";"0";"0"
"32";"Luminothérapie";"0";"N/A";"N/A";"0";"";"0";"2430000000324";"500.00";"Inconnu";"";"10000.00";"0.00000";"0.00";"0";"0";"0"
"33";"Haute fréquence";"0";"N/A";"N/A";"0";"";"0";"2430000000331";"500.00";"Inconnu";"";"10000.00";"0.00000";"0.00";"0";"0";"0"
"34";"massage crânien";"0";"N/A";"N/A";"0";"";"0";"2430000000348";"500.00";"Inconnu";"";"5000.00";"0.00000";"0.00";"0";"0";"0"
"35";"BOOST";"0";"N/A";"N/A";"0";"";"0";"2430000000355";"500.00";"Inconnu";"";"10000.00";"0.00000";"20000.00";"0";"0";"0"
"36";"Ortie coupée ";"0";"N/A";"N/A";"0";"";"0";"2430000000362";"500.00";"Inconnu";"";"1500.00";"0.00000";"0.00";"0";"0";"0"
"37";"Artemisia";"0";"N/A";"N/A";"0";"";"0";"2430000000379";"1000.00";"Inconnu";"";"3500.00";"0.00000";"0.00";"0";"0";"0"
"38";"Diagnostic capillaire";"0";"N/A";"N/A";"0";"";"0";"2430000000386";"500.00";"Inconnu";"";"10000.00";"0.00000";"0.00";"0";"0";"0"
"39";"Dermaroller 1mm";"0";"N/A";"N/A";"0";"";"0";"2430000000393";"1200.00";"Inconnu";"";"5000.00";"0.00000";"0.00";"0";"0";"1"
"40";"Gel aloe vera ";"0";"N/A";"N/A";"0";"";"0";"2430000000409";"2800.00";"Inconnu";"";"7000.00";"0.00000";"0.00";"0";"0";"0"
"41";"Ricin 50ml";"0";"N/A";"N/A";"0";"";"0";"2430000000416";"1250.00";"Inconnu";"";"3500.00";"0.00000";"0.00";"0";"0";"5"
"42";"Poudre de chébé";"0";"N/A";"N/A";"0";"";"0";"2430000000423";"1000.00";"Inconnu";"";"3500.00";"0.00000";"0.00";"0";"0";"2"
"43";"Dermaroller 0,5mm";"0";"N/A";"N/A";"0";"";"0";"2430000000430";"1200.00";"Inconnu";"";"5000.00";"0.00000";"0.00";"0";"0";"67"
"44";"Huile essentielle de romarin";"0";"N/A";"N/A";"0";"";"0";"2430000000447";"1500.00";"Inconnu";"";"5000.00";"0.00000";"0.00";"0";"0";"1"
"45";"Fer";"0";"N/A";"N/A";"0";"";"0";"2430000000454";"3300.00";"Inconnu";"";"8500.00";"0.00000";"0.00";"0";"0";"4"
"46";"Ginseng rouge ";"0";"N/A";"N/A";"0";"";"0";"2430000000461";"5000.00";"Inconnu";"";"12500.00";"0.00000";"0.00";"0";"0";"2"
"47";"Chitosan";"0";"N/A";"N/A";"0";"";"0";"2430000000478";"2653.00";"Inconnu";"";"8000.00";"0.00000";"0.00";"0";"0";"8"
"48";"LEVURE DE BIÈRE  ";"0";"N/A";"N/A";"0";"";"0";"2430000000485";"3600.00";"Inconnu";"";"9500.00";"0.00000";"0.00";"0";"0";"1"
"49";"Sérum pellicules 15ml";"0";"N/A";"N/A";"0";"";"0";"2430000000492";"750.00";"Inconnu";"";"5000.00";"0.00000";"0.00";"0";"0";"0"
"50";"Huile essentielle  Tea Tree 10ml ";"0";"N/A";"N/A";"0";"";"0";"2430000000508";"2000.00";"Inconnu";"";"5000.00";"0.00000";"0.00";"0";"0";"0"